,Frequencia,Amplitude(V),Amplitude(V)2
248,-251.5,0.0002473194604716939,0.0006429054648132757
249,-250.5,0.0002500274048922022,0.0006583456533728228
250,-249.5,0.0002527752529156533,0.0006676102754592258
251,-248.5,0.00025556386321019136,0.0006843991802384964
252,-247.5,0.0002583941183060761,0.0006943928435861142
253,-246.5,0.00026126692542619646,0.000712710599731609
254,-245.5,0.0002641832173450532,0.0007235340369633426
255,-244.5,0.0002671439532954324,0.0007435962622620565
256,-243.5,0.00027015011989830616,0.0007553704465763716
257,-242.5,0.00027320273214883115,0.0007774376227236008
258,-241.5,0.0002763028344279822,0.0007903093193487346
259,-240.5,0.00027945150157601505,0.0008146994021530521
260,-239.5,0.00028264983999403835,0.0008288487063258966
261,-238.5,0.0002858989888106535,0.0008559543755928398
262,-237.5,0.0002892001210885499,0.0008716051432326127
263,-236.5,0.0002925544450912877,0.0009019178741233019
264,-235.5,0.00029596320560403374,0.0009193524703360685
265,-234.5,0.00029942768531634084,0.0009534969009899007
266,-233.5,0.0003029492062649052,0.0009730775799434283
267,-232.5,0.000306529131345312,0.001011861899860759
268,-231.5,0.0003101688658925334,0.0010340627124562258
269,-230.5,0.0003138698593373667,0.0010785548813581963
270,-229.5,0.00031763360693674495,0.0011040109616010563
271,-228.5,0.0003214616515905137,0.001155658367774101
272,-227.5,0.0003253555857411984,0.0011852452738916777
273,-226.5,0.0003293170533684652,0.0012460712423268963
274,-225.5,0.00033334775207894465,0.0012810392904799872
275,-224.5,0.00033744943529887895,0.0013539842375781058
276,-223.5,0.0003416239145743549,0.0013962007100498332
277,-222.5,0.0003458730619867609,0.0014857574283696979
278,-221.5,0.0003501988126905697,0.0015381798031641925
279,-220.5,0.0003546031675767082,0.0016516889701390172
280,-219.5,0.0003590881960750706,0.0017193925477366951
281,-218.5,0.0003636560391009098,0.0018700268635596772
282,-217.5,0.00036830891215197843,0.0019627832778520145
283,-216.5,0.00037304910857151595,0.0021777053675445567
284,-215.5,0.0003778790029810816,0.0023179598612734047
285,-214.5,0.0003828010548981616,0.0026672279587655226
286,-213.5,0.00038781781254862066,0.0029245854693200055
287,-212.5,0.00039293191688587523,0.0036822378618377788
288,-211.5,0.0003981461058316168,0.004462402842918932
289,-210.5,0.00040346321875044556,0.009068427267585744
290,-209.5,0.00040888620117175576,0.022581051190333535
291,-208.5,0.0004144181097864768,0.00043576753491326705
292,-207.5,0.0004200621177180833,0.0004110561560528914
293,-206.5,0.00042582152010739834,0.00184948178832801
294,-205.5,0.00043169974001049674,0.0024023086516897626
295,-204.5,0.00043770033465371675,0.00362287016195484
