,Frequencia,Amplitude(V)1,Amplitude(V)2
183,-316.5,0.09126980102045681,0.09126980102045681
184,-315.5,0.09225886557846737,0.09225886557846737
185,-314.5,0.09328658525249332,0.09328658525249332
186,-313.5,0.09435610927107291,0.09435610927107291
187,-312.5,0.09547105671941533,0.09547105671941533
188,-311.5,0.09663562772474729,0.09663562772474729
189,-310.5,0.09785475271841314,0.09785475271841314
190,-309.5,0.09913429764018074,0.09913429764018074
191,-308.5,0.10048135407743614,0.10048135407743614
192,-307.5,0.10190466350388917,0.10190466350388917
193,-306.5,0.1034152635315374,0.1034152635315374
194,-305.5,0.10502752400816415,0.10502752400816415
195,-304.5,0.10676092107740785,0.10676092107740785
196,-303.5,0.10864335458545915,0.10864335458545915
197,-302.5,0.11071817723261616,0.11071817723261616
198,-301.5,0.11306227740108628,0.11306227740108628
199,-300.5,0.11585259962672292,0.11585259962672292
200,-299.5,0.12021314225436647,0.12021314225436647
201,-298.5,0.12441453844334362,0.12441453844334362
202,-297.5,0.12796259240760435,0.12796259240760435
203,-296.5,0.1311863943572565,0.1311863943572565
204,-295.5,0.13419134815190584,0.13419134815190584
205,-294.5,0.13703164711322544,0.13703164711322544
206,-293.5,0.1397405724891484,0.1397405724891484
207,-292.5,0.1423406965516244,0.1423406965516244
208,-291.5,0.14484834729416607,0.14484834729416607
209,-290.5,0.1472758854156678,0.1472758854156678
210,-289.5,0.14963299130605454,0.14963299130605454
211,-288.5,0.15192744872626207,0.15192744872626207
212,-287.5,0.15416564986699682,0.15416564986699682
213,-286.5,0.15635293574597905,0.15635293574597905
214,-285.5,0.15849383410366705,0.15849383410366705
215,-284.5,0.16059223073174822,0.16059223073174822
216,-283.5,0.16265149602094148,0.16265149602094148
217,-282.5,0.1646745804733162,0.1646745804733162
218,-281.5,0.16666408814905517,0.16666408814905517
219,-280.5,0.16862233407397242,0.16862233407397242
220,-279.5,0.1705513897601627,0.1705513897601627
221,-278.5,0.17245311976518848,0.17245311976518848
222,-277.5,0.17432921139172744,0.17432921139172744
223,-276.5,0.17618119906464572,0.17618119906464572
224,-275.5,0.1780104845271922,0.1780104845271922
225,-274.5,0.17981835371653618,0.17981835371653618
226,-273.5,0.18160599097521213,0.18160599097521213
227,-272.5,0.18337449110552434,0.18337449110552434
228,-271.5,0.1851248696627491,0.1851248696627491
229,-270.5,0.18685807179922806,0.18685807179922806
230,-269.5,0.18857497990769082,0.18857497990769082
231,-268.5,0.19027642026309588,0.19027642026309588
232,-267.5,0.19196316882419417,0.19196316882419417
233,-266.5,0.19363595632617797,0.19363595632617797
234,-265.5,0.1952954727722107,0.1952954727722107
235,-264.5,0.19694237141287657,0.19694237141287657
236,-263.5,0.1985772722875521,0.1985772722875521
237,-262.5,0.20020076538957546,0.20020076538957546
238,-261.5,0.2018134135072434,0.2018134135072434
239,-260.5,0.20341575478462964,0.20341575478462964
240,-259.5,0.20500830503962508,0.20500830503962508
241,-258.5,0.20659155987116667,0.20659155987116667
242,-257.5,0.20816599658311968,0.20816599658311968
243,-256.5,0.20973207594854212,0.20973207594854212
244,-255.5,0.21129024383494394,0.21129024383494394
245,-254.5,0.21284093270854879,0.21284093270854879
246,-253.5,0.21438456303338999,0.21438456303338999
247,-252.5,0.21592154457924745,0.21592154457924745
248,-251.5,0.21745227765090683,0.21745227765090683
249,-250.5,0.21897715424994874,0.21897715424994874
250,-249.5,0.22049655917921943,0.22049655917921943
251,-248.5,0.22201087109926165,0.22201087109926165
252,-247.5,0.22352046354528077,0.22352046354528077
253,-246.5,0.2250257059126548,0.2250257059126548
254,-245.5,0.22652696441856812,0.22652696441856812
255,-244.5,0.2280246030470376,0.2280246030470376
256,-243.5,0.22951898448440072,0.22951898448440072
257,-242.5,0.23101047105224848,0.23101047105224848
258,-241.5,0.2324994256448039,0.2324994256448039
259,-240.5,0.23398621267787809,0.23398621267787809
260,-239.5,0.23547119905677885,0.23547119905677885
261,-238.5,0.23695475517091208,0.23695475517091208
262,-237.5,0.23843725592332005,0.23843725592332005
263,-236.5,0.2399190818040469,0.2399190818040469
264,-235.5,0.24140062001704676,0.24140062001704676
265,-234.5,0.24288226567136537,0.24288226567136537
266,-233.5,0.24436442304857842,0.24436442304857842
267,-232.5,0.24584750695999333,0.24584750695999333
268,-231.5,0.2473319442089754,0.2473319442089754
269,-230.5,0.24881817517601454,0.24881817517601454
270,-229.5,0.2503066555468876,0.2503066555468876
271,-228.5,0.2517978582076129,0.2517978582076129
272,-227.5,0.2532922753339817,0.2532922753339817
273,-226.5,0.2547904207084681,0.2547904207084681
274,-225.5,0.25629283230351596,0.25629283230351596
275,-224.5,0.2578000751778915,0.2578000751778915
276,-223.5,0.2593127447424,0.2593127447424
277,-222.5,0.2608314704633566,0.2608314704633566
278,-221.5,0.26235692008753,0.26235692008753
279,-220.5,0.26388980449188787,0.26388980449188787
280,-219.5,0.26543088328676734,0.26543088328676734
281,-218.5,0.2669809713340753,0.2669809713340753
282,-217.5,0.26854094638556314,0.26854094638556314
283,-216.5,0.27011175810414273,0.27011175810414273
284,-215.5,0.27169443880937955,0.27169443880937955
285,-214.5,0.2732901163953132,0.2732901163953132
286,-213.5,0.2749000300174029,0.2749000300174029
287,-212.5,0.27652554935525664,0.27652554935525664
288,-211.5,0.278168198559228,0.278168198559228
289,-210.5,0.279829686429895,0.279829686429895
290,-209.5,0.28151194503661015,0.28151194503661015
291,-208.5,0.2832171799784468,0.2832171799784468
292,-207.5,0.28494793702477694,0.28494793702477694
293,-206.5,0.2867071922346951,0.2867071922346951
294,-205.5,0.288498476154454,0.288498476154454
295,-204.5,0.29032604695191616,0.29032604695191616
296,-203.5,0.2921951268030936,0.2921951268030936
297,-202.5,0.29411216963495407,0.29411216963495407
298,-201.5,0.29608470477071286,0.29608470477071286
299,-200.5,0.29811533735716095,0.29811533735716095
300,-199.5,0.2993672144930175,0.0
301,-198.5,0.2967887419925474,0.0
302,-197.5,0.29439455467993203,0.0
303,-196.5,0.29211103269561195,0.0
304,-195.5,0.28990886822614237,0.0
305,-194.5,0.28777184679869217,0.0
306,-193.5,0.2856892416142458,0.0
307,-192.5,0.2836532694785914,0.0
308,-191.5,0.28165795429566065,0.0
309,-190.5,0.2796985271963387,0.0
310,-189.5,0.2777710739949037,0.0
311,-188.5,0.2758723118453174,0.0
312,-187.5,0.273999439661672,0.0
313,-186.5,0.2721500335463884,0.0
314,-185.5,0.27032197113665507,0.0
315,-184.5,0.26851337531699637,0.0
316,-183.5,0.2667225713494181,0.0
317,-182.5,0.2649480535677832,0.0
318,-181.5,0.26318845905630817,0.0
319,-180.5,0.26144254653514337,0.0
320,-179.5,0.2597091791989134,0.0
321,-178.5,0.2579873106040839,0.0
322,-177.5,0.2562759729409959,0.0
323,-176.5,0.25457426719447696,0.0
324,-175.5,0.2528813548168968,0.0
325,-174.5,0.25119645062461293,0.0
326,-173.5,0.2495188166929398,0.0
327,-172.5,0.24784775707273093,0.0
328,-171.5,0.24618261318796616,0.0
329,-170.5,0.2445227598015067,0.0
330,-169.5,0.2428676014576714,0.0
331,-168.5,0.2412165693270576,0.0
332,-167.5,0.2395691183922462,0.0
333,-166.5,0.23792472492351774,0.0
334,-165.5,0.23628288420209703,0.0
335,-164.5,0.23464310845519348,0.0
336,-163.5,0.23300492497257322,0.0
337,-162.5,0.23136787437884362,0.0
338,-161.5,0.229731509039268,0.0
339,-160.5,0.22809539157990422,0.0
340,-159.5,0.2264590935053084,0.0
341,-158.5,0.22482219389905714,0.0
342,-157.5,0.2231842781939907,0.0
343,-156.5,0.22154493700043,0.0
344,-155.5,0.2199037649817194,0.0
345,-154.5,0.21826035976732333,0.0
346,-153.5,0.21661432089439986,0.0
347,-152.5,0.2149652487692989,0.0
348,-151.5,0.21331274364080896,0.0
349,-150.5,0.211656404577218,0.0
350,-149.5,0.20999582843936074,0.0
351,-148.5,0.20833060884181423,0.0
352,-147.5,0.2066603350942607,0.0
353,-146.5,0.20498459111477288,0.0
354,-145.5,0.20330295430637532,0.0
355,-144.5,0.20161499438769684,0.0
356,-143.5,0.19992027216782388,0.0
357,-142.5,0.19821833825459548,0.0
358,-141.5,0.19650873168450111,0.0
359,-140.5,0.19479097846104115,0.0
360,-139.5,0.19306458998683473,0.0
361,-138.5,0.1913290613728695,0.0
362,-137.5,0.18958386960602525,0.0
363,-136.5,0.18782847155328447,0.0
364,-135.5,0.1860623017777836,0.0
365,-134.5,0.18428477013793923,0.0
366,-133.5,0.18249525913615056,0.0
367,-132.5,0.1806931209778559,0.0
368,-131.5,0.17887767429475737,0.0
369,-130.5,0.1770482004775256,0.0
370,-129.5,0.17520393955285643,0.0
371,-128.5,0.17334408552686095,0.0
372,-127.5,0.17146778110075453,0.0
373,-126.5,0.16957411164477657,0.0
374,-125.5,0.1676620982910402,0.0
375,-124.5,0.16573068997396875,0.0
376,-123.5,0.16377875420595933,0.0
377,-122.5,0.1618050663229192,0.0
378,-121.5,0.15980829686519624,0.0
379,-120.5,0.15778699666827983,0.0
380,-119.5,0.1557395791161036,0.0
381,-118.5,0.1536642988456386,0.0
382,-117.5,0.15155922596675678,0.0
383,-116.5,0.14942221454904553,0.0
384,-115.5,0.14725086368599982,0.0
385,-114.5,0.14504246881197885,0.0
386,-113.5,0.14279396001449612,0.0
