,Frequencia,Amplitude,Fase
124,-13.725490196078454,1.0,-2.7966334602544425
125,-9.803921568627459,1.0,-2.8951932297788288
126,-5.882352941176464,1.0,-2.9937529993032146
127,-1.9607843137255259,1.0,-3.0923127688275995
128,1.960784313725469,1.0,3.0923127688276004
129,5.882352941176464,1.0,2.993752999303215
130,9.803921568627402,1.0,2.8951932297788305
131,13.725490196078454,1.0,2.7966334602544425
132,17.64705882352939,1.0,2.698073690730058
133,21.56862745098033,1.0,2.5995139212056735
134,25.49019607843138,1.0,2.5009541516812863
135,29.41176470588232,1.0,2.402394382156902
136,33.33333333333326,1.0,2.3038346126325164
137,37.25490196078431,1.0,2.2052748431081293
138,41.17647058823525,1.0,2.1067150735837448
139,45.0980392156863,1.0,2.0081553040593576
140,49.01960784313724,1.0,1.9095955345349722
141,52.941176470588175,1.0,1.8110357650105886
142,56.86274509803923,1.0,1.7124759954862006
143,60.784313725490165,1.0,1.613916225961816
144,64.7058823529411,1.0,1.5153564564374316
145,68.62745098039215,1.0,1.4167966869130444
146,72.54901960784309,1.0,1.31823691738866
147,76.47058823529414,1.0,1.2196771478642718
148,80.39215686274508,1.0,1.1211173783398873
149,84.31372549019602,1.0,1.0225576088155028
150,88.23529411764707,1.0,0.9239978392911148
151,92.15686274509801,1.0,0.8254380697667307
152,96.07843137254895,1.0,0.7268783002423462
153,100.0,1.0,0.6283185307179586
154,103.92156862745094,1.0,0.5297587611935737
155,107.84313725490199,1.0,0.4311989916691865
156,111.76470588235293,1.0,0.332639222144802
157,115.68627450980387,1.0,0.23407945262041752
158,119.60784313725492,1.0,0.1355196830960299
159,123.52941176470586,1.0,0.03695991357164541
160,127.4509803921568,1.0,-0.06159985595273909
161,131.37254901960785,1.0,-0.16015962547712714
162,135.29411764705878,1.0,-0.25871939500151164
163,139.21568627450972,1.0,-0.35727916452589614
164,143.13725490196077,1.0,-0.4558389340502833
165,147.0588235294117,1.0,-0.5543987035746683
166,150.98039215686276,1.0,-0.6529584730990554
167,154.9019607843137,1.0,-0.7515182426234399
168,158.82352941176464,1.0,-0.8500780121478244
169,162.7450980392157,1.0,-0.948637781672212
170,166.66666666666663,1.0,-1.0471975511965965
171,170.58823529411757,1.0,-1.145757320720981
172,174.50980392156862,1.0,-1.244317090245369
173,178.43137254901956,1.0,-1.3428768597697536
174,182.3529411764706,1.0,-1.4414366292941407
175,186.27450980392155,1.0,-1.5399963988185261
176,190.19607843137248,1.0,-1.6385561683429097
177,194.11764705882354,1.0,-1.7371159378672978
178,198.03921568627447,1.0,-1.8356757073916823
179,201.9607843137254,1.0,-1.9342354769160668
180,205.88235294117646,1.0,-2.032795246440455
181,209.8039215686274,1.0,-2.1313550159648385
182,213.72549019607845,1.0,-2.2299147854892265
183,217.6470588235294,1.0,-2.328474555013611
184,221.56862745098033,1.0,-2.4270343245379955
185,225.49019607843138,1.0,-2.5255940940623827
186,229.41176470588232,1.0,-2.624153863586768
187,233.33333333333326,1.0,-2.7227136331111517
188,237.2549019607843,1.0,-2.8212734026355397
189,241.17647058823525,1.0,-2.919833172159925
190,245.0980392156863,1.0,-3.0183929416843114
191,249.01960784313724,1.0,-3.1169527112086968
192,252.94117647058818,1.0,3.067672826446506
193,256.8627450980392,1.0,2.969113056922118
194,260.78431372549016,1.0,2.8705532873977333
195,264.7058823529411,1.0,2.771993517873349
196,268.62745098039215,1.0,2.6734337483489607
197,272.5490196078431,1.0,2.5748739788245762
198,276.47058823529403,1.0,2.4763142093001917
199,280.3921568627451,1.0,2.3777544397758046
200,284.313725490196,1.0,2.27919467025142
201,288.2352941176471,1.0,2.180634900727033
202,292.156862745098,1.0,2.0820751312026475
203,296.07843137254895,1.0,1.983515361678264
204,300.0,1.0,1.8849555921538759
205,303.92156862745094,1.0,1.7863958226294905
