,Tempo,x,y,Frequencia,Xf,Yf
49,0.245,0.017653261101119772,0.00031163762750430847,-50.75376884422111,0.012186349473609637,0.00094547418637074
50,0.25,0.02546479089470325,0.0006484555753109616,-49.74874371859297,0.012727312625827325,0.008104614536557309
51,0.255,0.018373802370553114,0.00033759661355214324,-48.743718592964825,0.013318523631022372,0.07905462765474197
52,0.26,-3.8981718325193755e-17,1.5195743635847466e-33,-47.73869346733669,0.013966651273088715,0.16033037315055748
53,0.265,-0.019155666301215,0.0003669395514435039,-46.73366834170855,0.01467958596752117,0.23983792976386248
54,0.27,-0.02767912053772093,0.0007661337137416845,-45.72864321608041,0.015466730577267052,0.32009467856425755
55,0.275,-0.020007029247935546,0.0004002812193277484,-44.72361809045226,0.016339378276817362,0.3999385487615098
56,0.28,1.4178752621088318e-16,2.0103702589001886e-32,-43.718592964824126,0.017311209422164853,0.48004274940283126
57,0.28500000000000003,0.020937588747839877,0.000438382622573671,-42.71356783919599,0.018398953523906858,0.5599687903691288
58,0.29,0.030315227255599098,0.0009190130035586183,-41.708542713567844,0.01962328400609853,0.6400235894979307
59,0.295,0.021958934540417138,0.0004821948061503248,-40.7035175879397,0.021010047087493877,0.7199817131357578
60,0.3,-3.898171832519376e-17,1.5195743635847472e-33,-39.69849246231156,0.022591979831378728,0.8000144382135465
61,0.305,-0.023085033747618156,0.0005329187831286692,-38.693467336683426,0.024411160386546914,0.8799884546414579
62,0.31,-0.03350630380882007,0.0011226723949289501,-37.68844221105528,0.02652258179778277,0.960009304657217
63,0.315,-0.02433287340965151,0.0005920887283701254,-36.68341708542714,0.028999499292068208,1.0399924775708314
64,0.32,3.8981718325193755e-17,1.5195743635847466e-33,-35.678391959799,0.03194166858259631,1.1200060702669519
65,0.325,0.025723323318774517,0.0006616893625622088,-34.673366834170864,0.03548847563559047,1.199995139880448
66,0.33,0.03744822190397537,0.0014023693237693808,-33.66834170854273,0.03984071021372332,1.2800038297502345
67,0.335,0.02728231261082121,0.000744324581394574,-32.663316582914575,0.045298420800641254,1.359997066093877
68,0.34,-1.8033970416801677e-16,3.25224088994078e-32,-31.65829145728644,0.05233060162201828,1.4400021387642257
69,0.34500000000000003,-0.029042461811519715,0.000843464588073581,-30.6532663316583,0.0617128800656587,1.5199985816766441
70,0.35000000000000003,-0.042441318157838755,0.0018012654869748936,-29.64824120603015,0.07482514665018573,1.6000007519861397
71,0.355,-0.031045390212314113,0.000963816253434849,-28.643216080402013,0.09437589361653188,1.6799998771145253
72,0.36,-1.2257026549517533e-16,1.5023469983557766e-32,-27.638190954773876,0.12648067166306662,1.759999516683913
73,0.365,0.033345048746559545,0.0011118922759104323,-26.63316582914574,0.18830896711050496,1.8400010793260768
74,0.37,0.04897075172058317,0.0023981345240789995,-25.6281407035176,0.3517574784622497,1.9199983230656428
75,0.375,0.03601265264628425,0.0012969111506219238,-24.62311557788945,1.993634438578177,2.0000022876174794
76,0.38,-3.8981718325193755e-17,1.5195743635847466e-33,-23.618090452261313,4.364494883935194,2.0799970769045357
77,0.385,-0.03914418765900468,0.0015322674274833744,-22.613065326633176,3.798934748497988,2.160003595892645
78,0.39,-0.05787452476068922,0.0033494606162756293,-21.608040201005025,4.139268524729216,2.239995680046967
79,0.395,-0.04287220553129063,0.0018380260071172271,-20.603015075376888,3.892791837851646,2.3200051113671813
80,0.4,2.6515449567371054e-16,7.030690657597978e-32,-19.59798994974875,4.087714899957473,2.399994010717577
81,0.405,0.04738506927142699,0.002245344789857934,-18.592964824120614,3.925326521797019,2.4800069770950213
82,0.41000000000000003,0.07073553026306462,0.00500351524159693,-17.587939698492477,4.065375767247774,2.5599918959330057
83,0.41500000000000004,0.052959783303358855,0.0028047386475387273,-16.582914572864325,3.9415576843552187,2.640009407582818
84,0.42,2.437342533604521e-16,5.940638626117705e-32,-15.577889447236188,4.053098017241394,2.719989063618981
85,0.425,-0.060021087743807044,0.003602530973949784,-14.572864321608051,3.9511255118657544,2.800012755297478
86,0.43,-0.0909456817667973,0.008271117032027568,-13.5678391959799,4.045472387576385,2.8799850475935793
87,0.435,-0.06925510124285435,0.004796269048158006,-12.562814070351763,3.9573082590933364,2.9600176500672726
88,0.44,3.8981718325193755e-17,1.5195743635847466e-33,-11.557788944723626,4.040394096469882,3.039978977464683
89,0.445,0.08184693783246431,0.006698921232551279,-10.552763819095489,3.9615192338510417,3.120025325004685
90,0.45,0.1273239544735163,0.01621138938277405,-9.547738693467352,4.03687971232146,3.1999690565929164
91,0.455,0.1000351462396782,0.010007030483193803,-8.5427135678392,3.964462670554616,3.280038483760522
92,0.46,-4.630556758536628e-16,2.1442055894029246e-31,-7.5376884422110635,4.034413120476744,3.359951058687381
93,0.465,-0.12861661659387302,0.016542234064055333,-6.532663316582926,3.966523848611699,3.440064042087723
94,0.47000000000000003,-0.21220659078919396,0.04503163717437242,-5.527638190954775,4.032702634907204,3.5199130105412473
95,0.47500000000000003,-0.1800632632314204,0.0324227787655478,-4.522613065326638,3.9679257466088966,3.600124267455339
96,0.48,-8.091661967317434e-16,6.547499339333146e-31,-3.517587939698501,4.031576979478109,3.679809397815232
97,0.485,0.30010543871903445,0.09006327434874414,-2.512562814070364,3.968799758403045,3.760325270676761
98,0.49,0.6366197723675808,0.40528473456935044,-1.507537688442227,4.030936335765002,3.839338233904492
99,0.495,0.900316316157106,0.810569469138702,-0.5025125628140756,3.969219980393209,3.9218916579329948
100,0.5,1.0,1.0,0.5025125628140614,4.030728247265367,3.9837899609240623
101,0.505,0.900316316157106,0.810569469138702,1.5075376884421985,3.96921998039321,3.921891657932994
102,0.51,0.6366197723675808,0.40528473456935044,2.5125628140703498,4.030936335765002,3.8393382339044915
103,0.515,0.30010543871903445,0.09006327434874414,3.517587939698487,3.9687997584030454,3.76032527067676
104,0.52,-8.091661967317434e-16,6.547499339333146e-31,4.522613065326624,4.031576979478109,3.6798093978152315
105,0.525,-0.1800632632314217,0.032422778765548256,5.527638190954761,3.9679257466088966,3.6001242674553393
106,0.53,-0.21220659078919357,0.04503163717437225,6.532663316582898,4.032702634907204,3.519913010541248
107,0.535,-0.12861661659387166,0.016542234064054983,7.537688442211049,3.9665238486116996,3.440064042087723
108,0.54,8.091661967317434e-16,6.547499339333146e-31,8.542713567839186,4.034413120476744,3.3599510586873813
109,0.545,0.1000351462396789,0.010007030483193942,9.547738693467323,3.9644626705546164,3.280038483760522
110,0.55,0.12732395447351613,0.01621138938277401,10.552763819095475,4.036879712321461,3.1999690565929155
111,0.555,0.0818469378324635,0.006698921232551144,11.557788944723612,3.961519233851042,3.1200253250046845
112,0.56,-9.03404853960292e-16,8.161403301590164e-31,12.562814070351749,4.040394096469882,3.0399789774646826
113,0.5650000000000001,-0.0692551012428548,0.004796269048158069,13.567839195979886,3.957308259093336,2.9600176500672735
114,0.5700000000000001,-0.09094568176679727,0.00827111703202756,14.572864321608023,4.045472387576385,2.8799850475935798
115,0.5750000000000001,-0.06002108774380635,0.003602530973949701,15.577889447236174,3.9511255118657544,2.800012755297478
116,0.58,-4.630556758536628e-16,2.1442055894029246e-31,16.58291457286431,4.0530980172413935,2.719989063618981
117,0.585,0.052959783303358855,0.0028047386475387273,17.58793969849245,3.9415576843552187,2.6400094075828178
118,0.59,0.07073553026306462,0.00500351524159693,18.5929648241206,4.065375767247773,2.559991895933005
119,0.595,0.04738506927142699,0.002245344789857934,19.597989949748737,3.9253265217970195,2.4800069770950213
120,0.6,2.6515449567371054e-16,7.030690657597978e-32,20.603015075376874,4.087714899957474,2.3999940107175766
121,0.605,-0.04287220553129063,0.0018380260071172271,21.60804020100501,3.8927918378516457,2.3200051113671822
122,0.61,-0.05787452476068922,0.0033494606162756293,22.613065326633148,4.139268524729215,2.239995680046968
