,Tempo,m,Frequencia,Mf
153,10.753768844221106,0,1.3442211055276383,(-0.06434176650454722-0.07071067811865475j)
154,10.954773869346734,0,1.3693467336683418,0j
155,11.155778894472363,0,1.3944723618090453,(0.06039262443716728+0.07071067811865465j)
156,11.35678391959799,0,1.4195979899497488,0j
157,11.557788944723619,0,1.4447236180904524,(-0.05664993547469554-0.07071067811865477j)
158,11.758793969849247,0,1.4698492462311559,0j
159,11.959798994974875,0,1.4949748743718594,(0.05309107888760898+0.07071067811865475j)
160,12.160804020100507,0,1.5201005025125633,0j
161,12.361809045226131,0,1.5452261306532664,(-0.04969629693417842-0.07071067811865477j)
162,12.562814070351763,0,1.5703517587939704,0j
163,12.763819095477388,0,1.5954773869346734,(0.046448233836692866+0.0707106781186548j)
164,12.96482412060302,0,1.6206030150753774,0j
165,13.165829145728644,0,1.6457286432160805,(-0.04333155928102052-0.07071067811865474j)
166,13.366834170854275,0,1.6708542713567844,0j
167,13.5678391959799,0,1.6959798994974875,(0.04033265871925044+0.07071067811865472j)
168,13.768844221105532,0,1.7211055276381915,0j
169,13.969849246231156,0,1.7462311557788945,(-0.03743937685716597-0.07071067811865474j)
170,14.170854271356788,0,1.7713567839195985,0j
171,14.371859296482413,0,1.7964824120603016,(0.03464080376944042+0.07071067811865471j)
172,14.572864321608044,0,1.8216080402010055,0j
173,14.773869346733669,0,1.8467336683417086,(-0.03192709539069358-0.07071067811865474j)
174,14.9748743718593,0,1.8718592964824126,0j
175,15.175879396984925,0,1.8969849246231156,(0.029289321881345174+0.07071067811865475j)
176,15.376884422110557,0,1.9221105527638196,0j
177,15.577889447236181,0,1.9472361809045227,(-0.026719338707355066-0.07071067811865475j)
178,15.778894472361813,0,1.9723618090452266,0j
179,15.979899497487438,0,1.9974874371859297,(0.024209676306184633+0.0707106781186548j)
180,16.18090452261307,0,2.0226130653266337,0j
181,16.381909547738694,0,2.0477386934673367,(-0.021753445013189234-0.07071067811865475j)
182,16.582914572864325,0,2.0728643216080407,0j
183,16.78391959798995,0,2.0979899497487438,(0.0193442525486166+0.0707106781186548j)
184,16.98492462311558,0,2.1231155778894477,0j
185,17.185929648241206,0,2.148241206030151,(-0.01697613185644014-0.07071067811865475j)
186,17.386934673366838,0,2.1733668341708547,0j
187,17.587939698492463,0,2.198492462311558,(0.01464347747312178+0.07071067811865472j)
188,17.788944723618094,0,2.2236180904522618,0j
189,17.98994974874372,0,2.248743718592965,(-0.012340988909871675-0.07071067811865467j)
190,18.19095477386935,0,2.273869346733669,0j
191,18.391959798994975,0,2.298994974874372,(0.010063619773531434+0.07071067811865475j)
192,18.592964824120607,0,2.324120603015076,0j
193,18.79396984924623,0,2.349246231155779,(-0.007806531541852992-0.07071067811865474j)
194,18.994974874371863,0,2.374371859296483,0j
195,19.195979899497488,0,2.399497487437186,(0.005565051058664213+0.07071067811865482j)
196,19.39698492462312,0,2.42462311557789,0j
197,19.597989949748744,0,2.449748743718593,(-0.0033346309307306626-0.07071067811865472j)
198,19.798994974874375,0,2.474874371859297,0j
199,20.0,0,2.5,(0.0011108120966754995+0.07071067811865477j)
